id,lon,lat,angle,z_peak_first_copdem,z_peak_max_1km_copdem,x_peak_first_copdem,x_peak_max_1km_copdem,lu_peak_first_copdem,lu_peak_max_1km_copdem,z_peak_first_deltadtm,z_peak_max_1km_deltadtm,x_peak_first_deltadtm,x_peak_max_1km_deltadtm,lu_peak_first_deltadtm,lu_peak_max_1km_deltadtm,he,ev,doc,doc_used,x_doc,x_shoreline,ns,bs_deltadtm,bs_copdem,cs_deltadtm,cs_copdem,extraction_flag,tr_zone_width,coast_type_flag,veg_type,mdt,lu_trees,lu_shrub,lu_grass,lu_crop,lu_built,lu_barren,lu_snow,lu_water,lu_wet,lu_mangr,lu_moss,class_most,class_most_land
BOX_N48E140_0075,140.168734,48.443895,134.782853,3.28,9.5,0.0,400.0,Herbaceous wetland,Trees,2.35,2.87,0.0,150.0,Herbaceous wetland,Trees,62.9,2268.29,10.05,4.51,-475.0,-47.5,0.01075,0.04943,0.07072,0.01462,0.01658,3,23.7,Vegetated,,0.46,62.68,0.0,2.1,0.12,0.0,0.26,0.0,31.65,3.19,0.0,0.0,Trees,Trees
BOX_N48E138_0015,139.668529,48.097434,120.71441,39.62,158.79,175.0,975.0,Trees,Trees,40.02,157.61,175.0,1025.0,Trees,Trees,232.71,13127.9,10.06,10.06,-214.3,87.5,0.03359,0.4574,0.45286,0.12885,0.12783,0,82.7,Rocky,,0.5,89.15,0.0,1.22,0.0,0.0,0.1,0.0,9.53,0.0,0.0,0.0,Trees,Trees
BOX_N46E138_0212,139.21971,47.728733,116.88722,96.5,217.7,425.0,925.0,Trees,Trees,94.34,217.67,425.0,925.0,Trees,Trees,242.75,3333.19,10.35,10.35,-203.6,162.5,0.02852,0.35937,0.36761,0.16668,0.17012,0,73.7,Rocky,,0.53,86.27,0.0,2.66,0.0,0.0,0.02,0.0,11.05,0.0,0.0,0.0,Trees,Trees
BOX_N46E138_0160,138.972016,47.313913,169.900462,111.23,149.65,425.0,650.0,Trees,Trees,210.66,,1100.0,,Trees,,139.37,2750.31,10.35,10.35,-875.9,-24.7,0.01229,0.18731,0.24739,0.11191,0.09354,0,44.4,Rocky,,0.56,91.7,0.0,0.64,0.0,0.0,0.0,0.0,7.66,0.0,0.0,0.0,Trees,Trees
BOX_N46E138_0105,138.519639,46.957706,114.174264,61.57,61.57,100.0,100.0,Trees,Trees,62.65,62.65,100.0,100.0,Trees,Trees,138.08,10456.26,10.7,10.7,-864.7,-112.5,0.01438,0.29481,0.28976,0.07615,0.07504,0,69.1,Rocky,,0.62,92.25,0.0,0.93,0.0,0.0,0.35,0.0,6.46,0.0,0.0,0.0,Trees,Trees
BOX_N46E138_0055,138.339275,46.542993,107.551066,1.33,2.19,-25.0,725.0,Cropland,Built-up,2.26,3.56,-25.0,850.0,Cropland,Grassland,49.78,2839.22,10.84,10.84,-377.8,-71.9,0.03583,0.04811,0.02888,0.03746,0.03484,0,47.0,Sandy,,0.65,67.24,0.03,8.54,2.81,2.83,4.18,0.0,8.6,5.75,0.0,0.0,Trees,Trees
BOX_N46E136_0019,137.978906,46.126646,128.889027,26.92,39.07,250.0,725.0,Trees,Trees,17.14,39.12,150.0,825.0,Trees,Trees,140.32,7662.7,10.79,10.79,-1415.0,-96.4,0.00828,0.06956,0.07775,0.01793,0.02272,0,67.1,Sandy,,0.69,87.56,0.0,5.05,0.14,0.12,0.12,0.0,6.75,0.25,0.0,0.0,Trees,Trees
BOX_N44E136_0213,137.555968,45.728221,136.773452,197.82,197.82,500.0,500.0,Trees,Trees,32.53,195.93,100.0,500.0,Grassland,Trees,188.75,7812.47,10.78,10.78,-2998.2,75.5,0.00355,1.32772,0.46777,0.01402,0.05967,0,42.3,Rocky,,0.73,88.4,0.0,1.87,0.0,0.0,0.16,0.0,9.57,0.0,0.0,0.0,Trees,Trees
BOX_N44E136_0160,137.132393,45.375017,159.798517,105.01,186.68,-50.0,450.0,Trees,Trees,110.95,187.55,-125.0,500.0,Open water,Trees,109.19,1553.46,10.95,0.86,-4000.0,-149.8,0.00026,4.47397,1.05644,0.02889,0.02684,3,47.3,Rocky,,0.74,87.78,0.0,6.27,0.0,0.0,0.0,0.0,5.93,0.01,0.0,0.0,Trees,Trees
BOX_N44E136_0105,136.668299,45.038403,166.328262,23.43,23.43,25.0,25.0,Trees,Trees,4.12,8.29,-50.0,300.0,Trees,Trees,8.46,67.94,10.99,0.85,-4000.0,-117.5,0.00026,0.06103,0.16126,0.0013,0.00607,3,23.2,Sandy,,0.72,56.94,0.0,14.93,0.05,0.0,0.81,0.0,14.06,13.21,0.0,0.0,Trees,Trees
BOX_N44E136_0060,136.37013,44.804541,164.568154,1.59,39.15,575.0,1350.0,Herbaceous wetland,Trees,0.69,2.45,0.0,550.0,Barren / sparse vegetation,Herbaceous wetland,38.45,866.5,11.36,0.85,-4000.0,-31.7,0.00025,0.02163,0.01073,0.00042,0.00057,3,42.3,Sandy,,0.68,64.15,0.0,10.89,0.01,0.0,1.42,0.0,15.04,8.49,0.0,0.0,Trees,Trees
BOX_N44E136_0018,136.177138,44.522896,134.130566,98.53,122.75,-25.0,225.0,Trees,Trees,115.22,132.5,50.0,275.0,Trees,Trees,338.78,11456.68,11.38,0.85,-4000.0,-166.1,0.00026,0.53319,0.68424,0.0287,0.02504,3,60.3,Rocky,,0.62,88.26,0.0,4.09,0.0,0.0,0.81,0.0,6.83,0.0,0.0,0.0,Trees,Trees
BOX_N44E134_0041,135.780241,44.259276,152.387485,257.59,257.59,225.0,225.0,Trees,Trees,257.6,257.6,225.0,225.0,Trees,Trees,210.24,2501.19,11.73,0.85,-4000.0,-221.2,0.00026,0.57733,0.57549,0.06121,0.06121,3,29.9,Rocky,,0.53,91.62,0.0,2.07,0.0,0.0,0.39,0.0,5.92,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0221,135.509535,43.949259,81.724168,4.14,32.06,250.0,975.0,Cropland,Trees,4.38,24.05,250.0,1000.0,Cropland,Trees,8.85,47.67,11.74,11.74,-3104.7,170.8,0.00363,0.05536,0.06196,0.00485,0.00478,0,39.6,Sandy,,0.44,10.59,0.0,3.6,0.03,0.0,0.98,0.0,83.44,1.37,0.0,0.0,Open water,Trees
BOX_N42E134_0176,135.421964,43.760212,161.12057,153.32,285.86,125.0,650.0,Grassland,Grassland,126.02,288.12,25.0,625.0,Trees,Trees,211.0,3238.21,11.75,0.98,-4000.0,-229.2,0.0003,0.49575,0.43287,0.03159,0.03745,3,,Rocky,,0.39,88.34,0.0,5.45,0.0,0.0,1.1,0.0,5.11,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0145,135.230247,43.694553,81.256231,,,,,,,,,,,,,,,11.79,,,,,,,,,13,61.2,Rocky,,0.36,92.53,0.0,2.77,0.04,0.0,0.32,0.0,4.34,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0097,134.886002,43.408303,146.756441,90.66,148.31,450.0,1025.0,Trees,Trees,62.2,149.17,300.0,1025.0,Trees,Trees,168.51,2234.47,11.78,11.78,-561.3,137.5,0.01708,0.38278,0.29011,0.08608,0.10145,0,161.1,Rocky,,0.28,86.99,0.0,1.22,0.0,0.0,0.64,0.0,11.16,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0046,134.412413,43.148216,157.126846,113.22,252.18,200.0,775.0,Trees,Trees,83.31,121.77,0.0,275.0,Trees,Trees,192.39,8210.45,11.47,11.47,-862.3,-100.0,0.01525,0.83305,0.36277,0.11009,0.11752,0,46.3,Rocky,,0.23,92.29,0.0,0.96,0.0,0.0,0.57,0.0,6.18,0.0,0.0,0.0,Trees,Trees
BOX_N42E134_0002,134.008351,42.943911,122.05358,200.75,200.75,200.0,200.0,Trees,Trees,199.62,199.62,175.0,175.0,Trees,Trees,279.59,18326.29,11.45,11.45,-533.4,-123.9,0.02833,0.66786,0.61844,0.29817,0.28954,0,23.4,Rocky,,0.23,90.38,0.0,1.71,0.05,0.0,1.14,0.0,6.73,0.0,0.0,0.0,Trees,Trees
BOX_N42E132_0340,133.581034,42.828634,173.789128,115.29,115.29,-50.0,-50.0,Trees,Trees,60.05,115.94,-325.0,-75.0,Trees,Trees,55.4,1311.88,10.83,10.83,-1131.8,-399.4,0.015,0.80717,0.33016,0.08805,0.11673,0,45.7,Rocky,,0.26,83.44,0.38,9.36,0.62,0.0,0.65,0.0,4.75,0.79,0.0,0.0,Trees,Trees
BOX_N42E132_0293,133.146674,42.68777,168.855426,40.03,135.53,-150.0,500.0,Trees,Trees,38.58,137.65,-150.0,500.0,Trees,Trees,187.14,5490.64,10.77,10.77,-799.8,-273.9,0.02078,0.31139,0.32463,0.07619,0.07842,0,72.0,Rocky,,0.3,93.47,0.0,1.31,0.01,0.0,0.76,0.0,4.46,0.0,0.0,0.0,Trees,Trees
BOX_N42E132_0243,132.886358,42.809461,124.171498,2.58,70.14,-100.0,725.0,Built-up,Trees,2.71,65.94,-100.0,725.0,Built-up,Trees,52.0,1183.33,9.7,9.7,-3243.7,-148.0,0.00319,0.05643,0.0536,0.004,0.00396,0,70.0,Other,,0.31,64.38,0.0,1.51,2.85,22.6,2.82,0.0,5.84,0.0,0.0,0.0,Trees,Trees
BOX_N42E132_0196,132.735337,42.888106,76.875523,68.05,68.05,125.0,125.0,Trees,Trees,40.08,41.81,75.0,150.0,Trees,Trees,35.82,322.64,9.68,9.68,-1708.4,37.5,0.00563,1.06867,0.77767,0.02799,0.04248,0,23.4,Sandy,,0.31,50.24,0.0,5.78,1.79,2.57,1.4,0.0,38.2,0.02,0.0,0.0,Trees,Trees
BOX_N42E132_0153,132.400289,42.943657,137.112304,51.69,87.45,425.0,600.0,Trees,Trees,89.32,89.32,600.0,600.0,Trees,Trees,208.16,11979.75,9.64,9.64,-688.5,302.4,0.00989,0.30013,0.41582,0.07692,0.05522,0,98.6,Sandy,,0.31,83.93,0.0,1.34,0.19,0.3,0.1,0.0,12.03,2.1,0.0,0.0,Trees,Trees
BOX_N42E132_0112,132.315298,43.016781,240.391759,2.5,26.11,525.0,1350.0,Grassland,Trees,2.65,26.59,525.0,1350.0,Grassland,Trees,64.84,1255.7,9.63,9.63,-462.9,435.1,0.01091,0.02945,0.02822,0.0126,0.01244,0,23.7,Vegetated,,0.3,72.69,0.05,8.5,4.56,1.77,0.65,0.0,11.78,0.0,0.0,0.0,Trees,Trees
BOX_N42E132_0067,132.341769,43.26709,314.46072,27.11,73.4,50.0,750.0,Trees,Trees,26.11,59.05,50.0,650.0,Trees,Trees,36.9,186.26,,10.0,-695.3,-99.6,0.01707,0.17451,0.18242,0.04867,0.05001,2,66.5,Rocky,,0.27,71.33,0.01,6.53,4.97,0.5,9.09,0.0,7.57,0.0,0.0,0.0,Trees,Trees
